City_ID,City,City latitude,City longitude,Max temperature,Humidity,Cloud coverage,Wind speed,City country,City datetime
106,Tiznit Province,29.5833,-9.5,84.4,32,16,2.55,MA,1659310259
107,Mwinilunga,-11.7358,24.4293,56.46,38,0,2.91,ZM,1659310260
108,San Patricio,28.017,-97.5169,93.92,56,59,15.88,US,1659310260
109,Saint-Philippe,-21.3585,55.7679,66.22,79,61,14.38,RE,1659310261
110,Rostovka,55.3842,71.8891,61.03,98,68,7.92,RU,1659310261
111,Tezu,27.9167,96.1667,75.27,97,100,1.97,IN,1659310261
112,Bethel,41.3712,-73.414,81.52,60,0,6.91,US,1659310262
113,Reykjavik,64.1355,-21.8954,49.66,76,20,13.8,IS,1659310262
114,Kwang Binh,17.4833,106.6,83.28,73,8,3.18,VN,1659310263
115,Te Anau,-45.4167,167.7167,42.73,95,83,6.6,NZ,1659310008
116,Sisimiut,66.9395,-53.6735,44.69,83,63,0.92,GL,1659310263
117,Payakumbuh,-0.2202,100.6308,71.04,95,99,1.95,ID,1659310264
118,Caceres,39.522,-6.3748,82.83,33,0,3.58,ES,1659310264
119,Iqaluit,63.7506,-68.5145,50.7,76,75,11.01,CA,1659310212
120,Bathsheba,13.2167,-59.5167,83.01,89,40,19.57,BB,1659310265
121,Tasiilaq,65.6145,-37.6368,44.76,51,45,5.21,GL,1659310265
122,Laredo,27.5064,-99.5075,102.49,27,40,11.5,US,1659310169
123,Tuktoyaktuk,69.4541,-133.0374,64.4,55,75,4.61,CA,1659310266
124,Jamestown,42.097,-79.2353,76.64,36,20,8.05,US,1659310215
125,Lagoa Vermelha,-28.2086,-51.5258,49.08,77,55,1.5,BR,1659310267
126,Guerrero Negro,27.9769,-114.0611,81.93,49,26,13.18,MX,1659310268
127,Laas,46.6166,10.7002,67.08,88,3,4.47,IT,1659310268
128,Aklavik,68.2191,-135.0107,66.63,44,86,2.68,CA,1659310268
129,Ilebo,-4.3167,20.5833,72.93,53,31,1.36,CD,1659310269
130,Avera,33.194,-82.5271,92.71,34,6,6.2,US,1659310269
131,Xai-Xai,-25.0519,33.6442,68.92,80,45,17.92,MZ,1659310270
132,Constitución,-35.3333,-72.4167,49.12,90,66,4.81,CL,1659310256
133,Coquimbo,-29.9533,-71.3436,55.13,94,40,6.91,CL,1659310271
134,Huarmey,-10.0681,-78.1522,63.09,82,10,10.04,PE,1659310271
135,Funtua,11.5233,7.3081,68.41,88,33,7.14,NG,1659310271
136,Shalya,57.2471,58.7298,55.69,99,97,4.21,RU,1659310272
137,Rørvik,64.8621,11.2373,53.64,93,100,16.93,NO,1659310272
138,Hamilton,39.1834,-84.5333,79.25,76,0,5.75,US,1659310257
139,Narsaq,60.9167,-46.05,55.62,80,84,4.09,GL,1659310067
140,Khiri Mat,16.8333,99.8,77.04,88,82,4.32,TH,1659310273
141,Loa Janan,-0.583,117.095,72.36,98,100,0.83,ID,1659310274
142,Korla,41.7597,86.1469,74.84,48,46,12.62,CN,1659310118
143,Prado,-17.3411,-39.2208,70.61,91,65,7.81,BR,1659310274
144,Ossora,59.2353,163.0719,57.83,74,50,11.25,RU,1659310275
